competencia;tp_ocde;chave_ies;co_ies;co_curso;co_municipio;tp_categoria_administrativa;ano_funcionamento;qt_matricula_total;qt_ingresso_total;qt_concluinte_total;qt_vaga_total;qt_inscrito_total
1995;Fisioterapia;26_1995;26;302;317020;ERRO;1995;435,0;118,0;69,0;120;412
1995;Medicina;42_1995;42;321;430510;ERRO;1995;333,0;63,0;47,0;60;1170
1995;Fisioterapia;109_1995;109;301;351880;ERRO;1995;258,0;80,0;33,0;80;457
1995;Medicina;205_1995;205;305;330630;ERRO;1995;469,0;80,0;65,0;80;1511
1995;Odontologia;229_1995;229;348;355030;ERRO;1995;209,0;50,0;43,0;50;2319
1995;Odontologia;350_1995;350;333;250750;ERRO;1995;640,0;80,0;134,0;70;975
1995;Fisioterapia;350_1995;350;329;250750;ERRO;1995;410,0;50,0;30,0;40;273
1995;Medicina;350_1995;350;361;250750;ERRO;1995;371,0;64,0;65,0;64;1341
1995;Medicina;350_1995;350;331;250750;ERRO;1995;576,0;109,0;93,0;100;2306
1995;Fisioterapia;353_1995;353;306;313820;ERRO;1995;115,0;60,0;0,0;60;445
1995;Odontologia;424_1995;424;326;411520;ERRO;1995;103,0;20,0;23,0;20;498
1995;Medicina;434_1995;434;306;430466;ERRO;1995;527,0;45,0;86,0;90;1264
1995;Medicina;460_1995;460;329;431690;ERRO;1995;678,0;52,0;103,0;100;2345
1995;Fisioterapia;556_1995;556;326;240810;ERRO;1995;126,0;22,0;8,0;20;310
1995;Odontologia;557_1995;557;319;313670;ERRO;1995;331,0;82,0;83,0;80;1216
1995;Odontologia;597_1995;597;301;350550;ERRO;1995;292,0;80,0;52,0;80;702
1995;Medicina;645_1995;645;308;320530;ERRO;1995;501,0;43,0;102,0;80;1682
1995;Fisioterapia;709_1995;709;303;431490;ERRO;1995;235,0;50,0;57,0;50;552
1995;Odontologia;737_1995;737;309;355030;ERRO;1995;514,0;100,0;90,0;100;834
1995;Medicina;800_1995;800;312;355410;ERRO;1995;502,0;80,0;77,0;80;2420
1995;Fisioterapia;805_1995;805;302;352710;ERRO;1995;251,0;66,0;41,0;65;212
1995;Fisioterapia;810_1995;810;308;354140;ERRO;1995;327,0;120,0;44,0;120;173
1995;Odontologia;848_1995;848;327;330455;ERRO;1995;248,0;68,0;46,0;64;2551
1995;Medicina;868_1995;868;319;350760;ERRO;1995;480,0;80,0;75,0;80;3359
1995;Odontologia;893_1995;893;312;355030;ERRO;1995;329,0;80,0;81,0;80;1702
1998;Odontologia;1128_1998;1128;7399;313380;Privada com fins lucrativos;1998;427,0;7,0;89,0;100;1606
1998;Fisioterapia;663_1998;663;15270;330330;Privada com fins lucrativos;1998;423,0;292,0;0,0;180;678
1998;Medicina;330_1998;330;7414;330350;Privada com fins lucrativos;1998;1636,0;567,0;73,0;160;2220
